"GEOID","DM","REGION","DIVISION","STATEFP","STATENS","STUSPS","NAME","LSAD","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","AreaUnit_km2","USDM_20160105","USDM_20160112","USDM_20160119","USDM_20160126","USDM_20160202","USDM_20160209","USDM_20160216","USDM_20160223","USDM_20160301","USDM_20160308","USDM_20160315","USDM_20160322","USDM_20160329","USDM_20160405","USDM_20160412","USDM_20160419","USDM_20160426","USDM_20160503","USDM_20160510","USDM_20160517","USDM_20160524","USDM_20160531","USDM_20160607","USDM_20160614","USDM_20160621","USDM_20160628","USDM_20160705","USDM_20160712","USDM_20160719","USDM_20160726","USDM_20160802","USDM_20160809","USDM_20160816","USDM_20160823","USDM_20160830","USDM_20160906","USDM_20160913","USDM_20160920","USDM_20160927","USDM_20161004","USDM_20161011"
"54",0,"3","5","54","01779805","WV","West Virginia","00","G4000","A",62266581604,489443020,"+38.6472854","-080.6183274",62755.5053671197,13,17,17,8,8,8,5,2,5,6,6,6,6,6,25,71,47,33,34,12,12,12,2,2,0,0,0,0,0,9,2,3,3,3,4,4,45,62,96,62,62
"12",0,"3","5","12","00294478","FL","Florida","00","G4000","A",138903200855,31407883551,"+28.4574302","-082.4091478",170310.259858757,15,15,10,1,1,0,0,0,6,19,19,19,16,10,8,6,6,6,6,6,0,0,0,0,0,0,0,3,3,10,15,8,7,12,12,5,6,6,6,6,11
"17",0,"2","3","17","01779784","IL","Illinois","00","G4000","A",143794747023,6200927458,"+40.1028754","-089.1526108",149995.647976874,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,7,13,0,0,0,0,0,0,35,29,24,18,20,14,3,3,1,1,1,1,1,0,0,0,0,1
"27",0,"2","4","27","00662849","MN","Minnesota","00","G4000","A",206236605303,18924324242,"+46.3161343","-094.1994801",225161.542346739,7,7,6,6,6,6,6,6,5,13,13,11,11,11,10,10,9,9,9,10,40,42,39,37,6,6,25,7,7,1,1,1,0,0,1,0,0,0,0,0,0
"24",0,"3","5","24","01714934","MD","Maryland","00","G4000","A",25147575220,6983455225,"+38.9466584","-076.6744939",32131.0829619257,8,8,8,3,7,7,7,7,7,7,7,7,7,7,8,35,71,74,6,6,8,8,3,3,0,0,0,0,0,12,0,0,0,0,0,2,13,25,48,8,8
"44",0,"1","1","44","01219835","RI","Rhode Island","00","G4000","A",2677751247,1323482672,"+41.5974187","-071.5272723",4001.23968936972,49,49,49,33,33,33,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,71,71,71,71,71,7,7,12,12,12,12,1,1,0,0,0,0,0
"16",0,"4","8","16","01779783","ID","Idaho","00","G4000","A",214045425549,2397728105,"+44.3020993","-114.5956279",216441.801402851,26,26,26,31,31,36,36,36,36,67,72,18,18,8,8,8,8,8,8,8,8,8,14,19,19,40,56,60,60,60,60,69,69,69,75,79,79,79,85,85,48
"33",0,"1","1","33","01779794","NH","New Hampshire","00","G4000","A",23187964254,1026252314,"+43.6726907","-071.5843145",24214.219323942,34,35,35,35,35,36,36,29,14,14,14,13,13,13,13,13,13,13,28,42,42,61,47,48,62,51,45,42,37,32,32,32,32,42,42,42,24,24,22,22,37
"37",0,"3","5","37","01027616","NC","North Carolina","00","G4000","A",125917995955,13472722504,"+35.5397100","-079.1308636",139390.80624551,0,0,0,0,0,0,0,0,0,0,0,0,9,33,37,77,77,55,8,8,6,3,3,7,16,15,5,6,6,6,6,5,6,8,18,8,39,29,15,4,4
"50",0,"1","1","50","01779802","VT","Vermont","00","G4000","A",23871896411,1034369068,"+44.0604795","-072.6733273",24906.2580899674,68,58,58,58,60,75,75,54,0,0,0,0,0,0,0,0,0,0,0,13,27,28,28,28,97,88,82,81,81,70,69,69,69,83,83,83,48,48,44,44,51
"09",0,"1","1","09","01779780","CT","Connecticut","00","G4000","A",12542396439,1814978794,"+41.5797777","-072.7466665",14357.7052345307,7,7,7,61,61,61,61,44,27,27,27,27,27,27,27,51,51,51,50,50,50,50,55,89,72,53,51,51,26,2,1,1,1,1,1,1,0,0,0,0,0
"10",0,"3","5","10","01779781","DE","Delaware","00","G4000","A",5047093738,1398754502,"+38.9985380","-075.4416616",6445.84696406451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,9,15,0,0
"35",0,"4","8","35","00897535","NM","New Mexico","00","G4000","A",314161410324,755712514,"+34.4346843","-106.1316181",314917.867741171,16,9,9,9,9,9,9,26,32,34,37,77,77,54,53,53,53,49,44,44,47,45,42,62,62,62,62,61,61,75,68,68,63,60,62,67,43,43,43,41,41
"06",0,"4","9","06","01779778","CA","California","00","G4000","A",403483823181,20483271881,"+37.1551773","-119.5434183",423966.983441085,3,3,3,4,5,5,5,5,4,2,6,7,6,6,6,5,5,6,6,8,8,10,11,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"34",0,"1","2","34","01779795","NJ","New Jersey","00","G4000","A",19048769408,3542752545,"+40.1072744","-074.6652012",22591.5161553545,32,15,15,0,1,1,1,0,0,0,0,0,0,0,4,38,41,46,42,42,42,38,38,6,14,28,28,26,26,26,11,11,22,20,62,62,30,23,27,11,6
"55",0,"2","3","55","01779806","WI","Wisconsin","00","G4000","A",140269495483,29365430262,"+44.6309071","-089.7093916",169634.937376365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,12,0,0,2,4,4,1,1,1,3,3,3,3,0,0,0,0,0
